rho0,E/A
0.159403,-15.9344
0.159437,-15.9292
0.159472,-15.9271
0.159506,-15.9255
0.15954,-15.9242
0.159574,-15.9231
0.159608,-15.9222
0.159642,-15.9213
0.159676,-15.9206
0.159711,-15.9199
0.159745,-15.9192
0.159779,-15.9186
0.159813,-15.9181
0.159847,-15.9176
0.159881,-15.9171
0.159916,-15.9166
0.15995,-15.9162
0.159984,-15.9158
0.160018,-15.9155
0.160052,-15.9151
0.160086,-15.9148
0.160121,-15.9145
0.160155,-15.9143
0.160189,-15.914
0.160223,-15.9138
0.160257,-15.9136
0.160291,-15.9134
0.160326,-15.9132
0.16036,-15.913
0.160394,-15.9128
0.160428,-15.9127
0.160462,-15.9126
0.160496,-15.9125
0.160531,-15.9124
0.160565,-15.9123
0.160599,-15.9122
0.160633,-15.9121
0.160667,-15.9121
0.160701,-15.9121
0.160736,-15.912
0.16077,-15.912
0.160804,-15.912
0.160838,-15.912
0.160872,-15.9121
0.160906,-15.9121
0.160941,-15.9121
0.160975,-15.9122
0.161009,-15.9122
0.161043,-15.9123
0.161077,-15.9124
0.161111,-15.9125
0.161145,-15.9126
0.16118,-15.9127
0.161214,-15.9129
0.161248,-15.913
0.161282,-15.9132
0.161316,-15.9133
0.16135,-15.9135
0.161385,-15.9137
0.161419,-15.9139
0.161453,-15.9141
0.161487,-15.9143
0.161521,-15.9145
0.161555,-15.9148
0.16159,-15.915
0.161624,-15.9153
0.161658,-15.9156
0.161692,-15.9159
0.161726,-15.9162
0.16176,-15.9165
0.161795,-15.9168
0.161829,-15.9172
0.161863,-15.9175
0.161897,-15.9179
0.161931,-15.9183
0.161965,-15.9187
0.162,-15.9192
0.162034,-15.9196
0.162068,-15.9201
0.162102,-15.9205
0.162136,-15.921
0.16217,-15.9216
0.162205,-15.9221
0.162239,-15.9227
0.162273,-15.9233
0.162307,-15.9239
0.162341,-15.9245
0.162375,-15.9252
0.16241,-15.9259
0.162444,-15.9267
0.162478,-15.9275
0.162512,-15.9283
0.162546,-15.9293
0.16258,-15.9302
0.162615,-15.9313
0.162649,-15.9325
0.162683,-15.9338
0.162717,-15.9352
0.162751,-15.937
0.162785,-15.9393
0.162819,-15.9448
0.162785,-15.9501
0.162751,-15.9522
0.162717,-15.9537
0.162683,-15.955
0.162649,-15.9561
0.162615,-15.957
0.16258,-15.9579
0.162546,-15.9587
0.162512,-15.9594
0.162478,-15.96
0.162444,-15.9606
0.16241,-15.9612
0.162375,-15.9617
0.162341,-15.9622
0.162307,-15.9626
0.162273,-15.963
0.162239,-15.9634
0.162205,-15.9638
0.16217,-15.9641
0.162136,-15.9644
0.162102,-15.9647
0.162068,-15.965
0.162034,-15.9652
0.162,-15.9655
0.161965,-15.9657
0.161931,-15.9659
0.161897,-15.9661
0.161863,-15.9662
0.161829,-15.9664
0.161795,-15.9665
0.16176,-15.9667
0.161726,-15.9668
0.161692,-15.9669
0.161658,-15.967
0.161624,-15.967
0.16159,-15.9671
0.161555,-15.9671
0.161521,-15.9672
0.161487,-15.9672
0.161453,-15.9672
0.161419,-15.9672
0.161385,-15.9672
0.16135,-15.9672
0.161316,-15.9672
0.161282,-15.9671
0.161248,-15.9671
0.161214,-15.967
0.16118,-15.9669
0.161145,-15.9668
0.161111,-15.9667
0.161077,-15.9666
0.161043,-15.9665
0.161009,-15.9664
0.160975,-15.9662
0.160941,-15.9661
0.160906,-15.9659
0.160872,-15.9657
0.160838,-15.9655
0.160804,-15.9654
0.16077,-15.9651
0.160736,-15.9649
0.160701,-15.9647
0.160667,-15.9644
0.160633,-15.9642
0.160599,-15.9639
0.160565,-15.9636
0.160531,-15.9634
0.160496,-15.963
0.160462,-15.9627
0.160428,-15.9624
0.160394,-15.962
0.16036,-15.9617
0.160326,-15.9613
0.160291,-15.9609
0.160257,-15.9605
0.160223,-15.9601
0.160189,-15.9596
0.160155,-15.9592
0.160121,-15.9587
0.160086,-15.9582
0.160052,-15.9577
0.160018,-15.9571
0.159984,-15.9566
0.15995,-15.956
0.159916,-15.9554
0.159881,-15.9547
0.159847,-15.954
0.159813,-15.9533
0.159779,-15.9525
0.159745,-15.9517
0.159711,-15.9509
0.159676,-15.95
0.159642,-15.949
0.159608,-15.9479
0.159574,-15.9468
0.15954,-15.9455
0.159506,-15.944
0.159472,-15.9422
0.159437,-15.9399
0.159403,-15.9344